33000,32999.9826412781,32999.9841121204,32000,31000
32182,32182.0081219769,32182.0085705021,32182,31966.2764648754
31857,31857.0116310221,31857.0122247037,31857,31771.9854846857
33000,33000,33000,33000,33000
31857,32568.1413174677,32803.2022777451,32803.1974790374,32803.1984744848
32182,31389.1854495127,30827.9757740383,30827.9735192085,30827.9753489597
17489,17488.9805350422,17488.9797059345,17489.0077112317,17817.1892110061
14273,14273.0000881291,14272.9999608879,14273,14072.2275268155
14122,14122.0040708093,14122.0040821468,14122,14042.3350611499
17535,17574.8251037504,17933.480374615,17933.4784222066,17933.4800065486
14122,14788.7528957476,15009.1436584423,15009.1462120546,15009.1472313998
14273,14000,14000,14000,14000
124.78818,124.787958427235,124.787958591074,120.488221794876,120
121.271907,121.271874800802,121.271873587096,121.271907,120
157.373093000001,157.137402015185,155.014165692392,155.014100740538,154.252963884886
126.187746999999,120,120,120,120
108.270917,120,125,125,125
